   5        0.00        0.00        0.00
  10        0.00        0.00        0.00
  15        0.01        0.00        0.00
  20        0.03        0.01        0.00
  25        0.04        0.02        0.02
  30        0.07        0.03        0.01
  35        0.12        0.05        0.02
  40        0.21        0.09        0.03
  45        0.30        0.13        0.05
  50        0.48        0.20        0.08
  55        0.89        0.30        0.13
  60        1.20        0.44        0.16
  65        1.70        0.65        0.24
  70        2.49        0.80        0.31
  75        2.84        1.20        0.44
  80        4.07        1.69        0.60
  85        5.99        2.07        0.52
  90        6.35        2.17        0.70
  95        6.83        3.00        0.88
 100        9.19        2.71        1.22
 105        7.68        2.95        1.15
 110        9.61        4.65        1.47
 115       13.58        4.15        1.67
 120       15.15        6.67        2.76
 125       24.69        5.92        2.62
 130       19.09        7.67        2.71
 135       24.90        8.83        3.27
 140       28.10        9.67        3.61
 145       31.62       10.45        4.13
 150       38.01       14.89        4.99
 155       39.31       16.39        5.32
 160       54.60       19.54        6.70
 165       52.71       20.64        7.01
 170       63.19       20.84        8.59
 175       73.34       23.51        8.47
 180       85.35       30.63        9.60
 185       92.02       34.48       11.45
 190       96.30       37.74       12.73
 195       97.53       34.66       12.61
 200      125.95       42.74       15.15
 205      135.40       43.06       15.59
 210      146.27       54.81       20.03
 215      157.92       60.04       22.73
 220      167.77       68.58       21.12
 225      202.51       74.75       25.14
 230      206.93       67.66       24.58
 235      204.96       58.23       26.49
 240      172.37       63.62       27.14
 245      188.00       69.34       30.25
 250      208.84       76.60       35.99
